factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
0.02000777 -0.02168955 0.8353365 1.180817
-0.005652311 -0.06285871 0.7861511 1.096646
0.06252196 -0.05476602 0.7496118 0.9491055
-0.0006722706 -0.03586266 0.7104318 1.018573
0.007843837 -0.08870709 0.6377928 1.000049
0.07104323 -0.07337136 0.7340042 1.136607
0.06813383 0.007690224 0.8107116 1.147038
-0.03964202 -0.1339513 0.7428329 1.243928
0.01943616 -0.04075712 0.7020375 1.27165
0.04988801 -0.04416356 0.8944342 1.214225
0.00413138 -0.09653686 0.8702432 1.177184
0.08430058 -0.02770993 0.8831755 1.170646
0.03881031 -0.07241954 0.8980224 1.091078
0.01793298 -0.07912538 0.7777751 1.104733
0.08729059 -0.008692218 0.919012 1.178464
0.09349162 -0.04722003 0.8944933 1.150229
-0.009690592 -0.0765382 0.9779588 1.090949
-0.01700918 -0.02984944 1.062501 1.210366
0.00628294 -0.04094402 1.063418 1.367359
0.07493728 -0.0250708 1.163488 1.445348
0.07343974 -0.06761565 1.270574 1.408693
0.03078528 -0.08099513 1.330114 1.353236
0.07967202 0.006743359 1.23498 1.244034
0.0409561 -0.04476326 1.177702 1.240025
0.0333445 0.001305908 1.256828 1.262908
0.03831731 -0.08704435 1.404941 1.326554
0.01678427 -0.06568807 1.396958 1.326323
0.03251845 -0.07529073 1.348145 1.277528
0.06541136 -0.05541773 1.425508 1.211943
0.0728434 -0.03975108 1.505684 1.271816
-0.003439019 -0.1138248 1.536449 1.157494
0.08380032 -0.03773106 1.341401 1.084891
0.0157544 -0.07234331 1.481763 1.218479
0.04871006 -0.01560167 1.50217 1.159987
0.04977509 -0.04276631 1.594199 0.8352231
0.0005144208 -0.06180253 1.845481 0.9477121
0.0470008 -0.04743552 1.952078 1.036021
0.03603596 -0.06918597 1.895298 1.038091
0.03896171 -0.05681999 1.967801 1.014757
0.03880921 -0.03774697 1.874102 1.032133
0.07218228 -0.01630657 1.746853 1.12841
-0.005830901 -0.05039413 1.661853 1.407523
0.0218015 -0.09952458 1.543081 1.591643
0.03576909 -0.07584585 1.573711 1.639899
0.09364155 0.05295264 1.612573 1.632982
0.08629301 -0.09153371 1.451795 1.787265
0.02610386 -0.03845878 1.397406 1.795208
0.06245231 -0.02685134 1.257068 1.673815
0.04671724 0.01231548 1.311342 1.729385
0.05241117 -0.01124323 1.344252 1.759368
-0.005300339 -0.09492232 1.40898 1.758348
0.05503046 -0.07470908 1.446568 1.545504
0.05163686 -0.007244388 1.350209 1.530676
0.04156489 -0.04367257 1.389051 1.482887
0.03649701 -0.05388305 1.471651 1.586702
0.05075741 -0.0383121 1.592832 1.463487
0.0579596 -0.1009798 1.745383 1.336556
0.04606981 -0.06847332 1.715774 1.283958
0.04902233 -0.03580633 1.713757 1.300696
0.02306203 -0.09381116 1.618782 1.245311
0.02493102 -0.07096823 1.575905 1.206682
0.07414674 -0.1004419 1.543741 1.099205
0.1054599 0.005085842 1.435542 1.239456
0.04483765 -0.064081 1.477124 1.270204
0.05445582 0.02337424 1.504909 1.406207
