"","crossID","Crosses","P1","malePar","plotNo","Region","line","block","Year","PhotoScore","dryWgtPerM","AshFreedryWgtPerM"
"228","SL18-UCONN-S57","SL18-NL-10-FG1xSA18-CB-4-MG3","SL18-NL-10-FG1","SA18-CB-4-MG3","2019_57","GOM",3,3,2019,3,0.24,NA
"229","SL18-UCONN-S58","SL18-NL-10-FG1xSL18-LD-2-MG1","SL18-NL-10-FG1","SL18-LD-2-MG1","2019_58","GOM",2,8,2019,2,0.07,NA
"231","SL18-UCONN-S6","SL18-LD-10-FG1xSA18-CB-1-MG2","SL18-LD-10-FG1","SA18-CB-1-MG2","2019_6","GOM",3,8,2019,3,0.26,NA
"232","SL18-UCONN-S60","SL18-NL-10-FG1xSL18-OI-15-MG1","SL18-NL-10-FG1","SL18-OI-15-MG1","2019_60","GOM",1,3,2019,3,0.38,"0.200792"
"233","SL18-UCONN-S62","SL18-NL-10-FG1xSL18-OI-7-MG1","SL18-NL-10-FG1","SL18-OI-7-MG1","2019_62","GOM",2,4,2019,3,0.34,"0.172516"
"234","SL18-UCONN-S63","SL18-NL-10-FG1xSL18-SF-13-MG1","SL18-NL-10-FG1","SL18-SF-13-MG1","2019_63","GOM",4,5,2019,3,0.33,"0.165165"
"244","SL18-UCONN-S72","SL18-NL-10-FG3xSL18-NL-3-MG2","SL18-NL-10-FG3","SL18-NL-3-MG2","2019_72","GOM",1,7,2019,2,0.04,NA
"245","SL18-UCONN-S73","SL18-NL-2-FG1xSA18-CB-1-MG2","SL18-NL-2-FG1","SA18-CB-1-MG2","2019_73","GOM",2,9,2019,3,0.38,"0.19038"
"247","SL18-UCONN-S75","SL18-NL-2-FG1xSL18-LD-13-MG2","SL18-NL-2-FG1","SL18-LD-13-MG2","2019_75","GOM",3,7,2019,3,0.31,NA
"10","SL18-UCONN-S76","SL18-NL-2-FG1xSL18-SF-17-MG1","SL18-NL-2-FG1","SL18-SF-17-MG1","2019_76","GOM",3,2,2019,3,0.42,"0.231966"
"248","SL18-UCONN-S77","SL18-NL-2-FG3xSA18-CB-2-MG3","SL18-NL-2-FG3","SA18-CB-2-MG3","2019_77","GOM",4,1,2019,3,0.17,NA
"249","SL18-UCONN-S78","SL18-NL-2-FG3xSA18-CB-4-MG1","SL18-NL-2-FG3","SA18-CB-4-MG1","2019_78","GOM",2,3,2019,3,0.1,NA
"250","SL18-UCONN-S79","SL18-NL-2-FG3xSL18-LD-3-MG2","SL18-NL-2-FG3","SL18-LD-3-MG2","2019_79","GOM",4,4,2019,3,0.12,NA
"252","SL18-UCONN-S80","SL18-NL-2-FG3xSL18-OI-16-MG1","SL18-NL-2-FG3","SL18-OI-16-MG1","2019_80","GOM",4,3,2019,3,0.3,NA
"13","SL18-UCONN-S82","SL18-NL-3-FG1xSA18-CB-7-MG2","SL18-NL-3-FG1","SA18-CB-7-MG2","2019_82","GOM",3,3,2019,3,0.43,"0.226309"
"255","SL18-UCONN-S84","SL18-NL-3-FG1xSL18-OI-11-MG2","SL18-NL-3-FG1","SL18-OI-11-MG2","2019_84","GOM",4,2,2019,3,0.26,NA
"256","SL18-UCONN-S85","SL18-NL-3-FG1xSL18-SF-13-MG2","SL18-NL-3-FG1","SL18-SF-13-MG2","2019_85","GOM",4,5,2019,3,0.2,NA
"5","SL18-UCONN-S87","SL18-NL-3-FG2xSL18-SF-17-MG2","SL18-NL-3-FG2","SL18-SF-17-MG2","2019_87","GOM",4,8,2019,3,0.46,"0.211416"
"258","SL18-UCONN-S88","SL18-NL-3-FG3xSA18-CB-2-MG2","SL18-NL-3-FG3","SA18-CB-2-MG2","2019_88","GOM",4,8,2019,3,0.17,NA
"260","SL18-UCONN-S9","SL18-LD-10-FG1xSL18-OI-18-MG1","SL18-LD-10-FG1","SL18-OI-18-MG1","2019_9","GOM",2,1,2019,3,0.16,NA
"1","SL18-UCONN-S94","SL18-NL-6-FG1xSA18-CB-3-MG3","SL18-NL-6-FG1","SA18-CB-3-MG3","2019_94","GOM",2,2,2019,3,0.48,"0.215184"
"265","SL18-UCONN-S95","SL18-NL-6-FG1xSA18-CB-7-MG2","SL18-NL-6-FG1","SA18-CB-7-MG2","2019_95","GOM",2,6,2019,3,0.46,"0.23046"
"266","SL18-UCONN-S96","SL18-NL-6-FG1xSL18-LD-1-MG2","SL18-NL-6-FG1","SL18-LD-1-MG2","2019_96","GOM",1,2,2019,3,0.18,NA
"267","SL18-UCONN-S97","SL18-NL-6-FG1xSL18-LD-2-MG1","SL18-NL-6-FG1","SL18-LD-2-MG1","2019_97","GOM",2,5,2019,3,0.27,NA
"268","SL18-UCONN-S98","SL18-NL-6-FG1xSL18-LD-3-MG2","SL18-NL-6-FG1","SL18-LD-3-MG2","2019_98","GOM",3,5,2019,3,0.35,"0.16884"
"269","SL18-UCONN-S99","SL18-NL-6-FG1xSL18-NL-2-MG1","SL18-NL-6-FG1","SL18-NL-2-MG1","2019_99","GOM",1,6,2019,3,0.24,NA
"271","SL19-UCONN-S10","SL18-OI-11-FG3xSL18-CC-1-MG3","SL18-OI-11-FG3","SL18-CC-1-MG3","2020_10","GOM",1,2,2020,3,1.031543485,"0.585194619"
"273","SL19-UCONN-S101","SL18-JS-16-FG3xSL18-NC-10-MG3","SL18-JS-16-FG3","SL18-NC-10-MG3","2020_101","GOM",2,8,2020,2,0.145898646,"0.085700865"
"276","SL19-UCONN-S104","SL18-OI-5-FG5xSA18-CB-7-MG3","SL18-OI-5-FG5","SA18-CB-7-MG3","2020_104","GOM",2,9,2020,2,0.09321362,"0.065734245"
"284","SL19-UCONN-S111","SL18-CC-1-FG2xSL18-OI-16-MG1","SL18-CC-1-FG2","SL18-OI-16-MG1","2020_111","GOM",2,10,2020,3,0.478797213,NA
"285","SL19-UCONN-S112","SL18-NC-11-FG1xSL18-NL-2-MG1","SL18-NC-11-FG1","SL18-NL-2-MG1","2020_112","GOM",2,10,2020,2,0.276564855,"0.168345027"
"286","SL19-UCONN-S113","SL18-CC-5-FG2xSA18-CB-10-MG1","SL18-CC-5-FG2","SA18-CB-10-MG1","2020_113","GOM",2,10,2020,3,1.989688812,"1.214307082"
"288","SL19-UCONN-S115","SL18-LD-13-FG2xSL18-LD-13-MG2","SL18-LD-13-FG2","SL18-LD-13-MG2","2020_115","GOM",2,11,2020,2,0.03920757,"0.025724087"
"292","SL19-UCONN-S119","SL18-CC-5-FG3xSL18-OI-14-MG1","SL18-CC-5-FG3","SL18-OI-14-MG1","2020_119","GOM",3,1,2020,3,1.495930496,"0.851184452"
"24","SL19-UCONN-S12","SL18-CC-11-FG3xSL18-CC-3-MG1","SL18-CC-11-FG3","SL18-CC-3-MG1","2020_12","GOM",1,3,2020,2,0.162226696,"0.096119317"
"15","SL19-UCONN-S121","SL18-CC-11-FG3xSA18-CB-3-MG3","SL18-CC-11-FG3","SA18-CB-3-MG3","2020_121","GOM",3,1,2020,3,1.912050785,"1.093884254"
"300","SL19-UCONN-S128","SL18-JS-16-FG1xSL18-CC-4-MG11","SL18-JS-16-FG1","SL18-CC-4-MG11","2020_128","GOM",3,3,2020,2,0.038860603,"0.023413513"
"303","SL19-UCONN-S130","SL18-CC-11-FG3xSL18-JS-16-MG1","SL18-CC-11-FG3","SL18-JS-16-MG1","2020_130","GOM",3,3,2020,3,0.606503052,NA
"304","SL19-UCONN-S131","SL18-NC-12-FG2xSA18-CB-4-MG3","SL18-NC-12-FG2","SA18-CB-4-MG3","2020_131","GOM",3,3,2020,3,0.1931936,NA
"305","SL19-UCONN-S132","SL18-OD-5-FG1xSL18-CC-8-MG2","SL18-OD-5-FG1","SL18-CC-8-MG2","2020_132","GOM",3,3,2020,2,0.058814816,"0.038423719"
"306","SL19-UCONN-S133","SL18-CC-1-FG3xSL18-OI-9-MG2","SL18-CC-1-FG3","SL18-OI-9-MG2","2020_133","GOM",3,3,2020,2,0.045545013,NA
"27","SL19-UCONN-S135","SA18-CB-9-FG1xSL18-JS-5-MG3","SA18-CB-9-FG1","SL18-JS-5-MG3","2020_135","GOM",3,4,2020,2,0.116125876,"0.072427709"
"309","SL19-UCONN-S137","SL18-CC-5-FG1xSL18-JS-9-MG1","SL18-CC-5-FG1","SL18-JS-9-MG1","2020_137","GOM",3,4,2020,2,0.038572756,NA
"310","SL19-UCONN-S138","SL18-OI-15-FG1xSA18-CB-2-MG3","SL18-OI-15-FG1","SA18-CB-2-MG3","2020_138","GOM",3,4,2020,2,0.071632259,"0.044161288"
"311","SL19-UCONN-S139","SL18-CC-12-FG3xSL18-OI-15-MG2","SL18-CC-12-FG3","SL18-OI-15-MG2","2020_139","GOM",3,5,2020,3,0.566752741,NA
"312","SL19-UCONN-S14","SL18-SF-17-FG2xSL18-NC-1-MG1","SL18-SF-17-FG2","SL18-NC-1-MG1","2020_14","GOM",1,3,2020,2,0.187129708,NA
"30","SL19-UCONN-S140","SL18-JS-5-FG1xSL18-LD-2-MG4","SL18-JS-5-FG1","SL18-LD-2-MG4","2020_140","GOM",3,5,2020,2,0.161994864,"0.097666704"
"35","SL19-UCONN-S141","SL18-OD-5-FG3xSA18-CB-1-MG12","SL18-OD-5-FG3","SA18-CB-1-MG12","2020_141","GOM",3,5,2020,3,0.111509655,"0.071421934"
"16","SL19-UCONN-S143","SL18-CC-5-FG3xSL18-JS-5-MG2","SL18-CC-5-FG3","SL18-JS-5-MG2","2020_143","GOM",3,5,2020,3,0.157828887,"0.094176497"
"36","SL19-UCONN-S144","SL18-SF-13-FG1xSA18-CB-7-MG1","SL18-SF-13-FG1","SA18-CB-7-MG1","2020_144","GOM",3,5,2020,2,0.149539341,"0.097963222"
