"","X","GID","P1","P2","TraitBLUE","Year","CV"
"104",48247,"SL18-OI-6-FG1xSA18-CB-4-MG1","SL18-OI-6-FG1","SA18-CB-4-MG1",-0.139400500441516,2019,1
"105",48333,"SL18-OI-6-FG1xSL18-LD-13-MG2","SL18-OI-6-FG1","SL18-LD-13-MG2",-0.251892077528936,2019,3
"106",48335,"SL18-OI-6-FG1xSL18-LD-2-MG1","SL18-OI-6-FG1","SL18-LD-2-MG1",-0.337541147672672,2019,8
"107",48341,"SL18-OI-6-FG1xSL18-LD-5-MG1","SL18-OI-6-FG1","SL18-LD-5-MG1",-0.359293215058613,2019,5
"108",48385,"SL18-OI-6-FG1xSL18-NL-9-MG1","SL18-OI-6-FG1","SL18-NL-9-MG1",-0.304975059594926,2019,7
"109",48441,"SL18-OI-6-FG1xSL18-SF-15-MG1","SL18-OI-6-FG1","SL18-SF-15-MG1",-0.205014652878583,2019,7
"110",48446,"SL18-OI-6-FG1xSL18-SF-19-MG1","SL18-OI-6-FG1","SL18-SF-19-MG1",-0.374975059594927,2019,3
"111",49613,"SL18-OI-7-FG3xSA18-CB-2-MG3","SL18-OI-7-FG3","SA18-CB-2-MG3",-0.28896521675332,2019,10
"112",49989,"SL18-OI-9-FG1xSL18-LL-9-MG2","SL18-OI-9-FG1","SL18-LL-9-MG2",-0.305582663470397,2019,4
"113",51634,"SL18-SF-13-FG1xSL18-LL-9-MG3","SL18-SF-13-FG1","SL18-LL-9-MG3",-0.210565827382319,2019,8
"114",52180,"SL18-SF-17-FG1xSL18-LL-9-MG1","SL18-SF-17-FG1","SL18-LL-9-MG1",-0.288127888117811,2019,10
"115",52623,"SL18-SF-17-FG3xSA18-CB-10-MG1","SL18-SF-17-FG3","SA18-CB-10-MG1",-0.126963796970437,2019,1
"116",52630,"SL18-SF-17-FG3xSA18-CB-3-MG3","SL18-SF-17-FG3","SA18-CB-3-MG3",-0.159400500441517,2019,7
"117",52719,"SL18-SF-17-FG3xSL18-LD-2-MG1","SL18-SF-17-FG3","SL18-LD-2-MG1",-0.218129123911238,2019,3
"118",52754,"SL18-SF-17-FG3xSL18-NL-10-MG2","SL18-SF-17-FG3","SL18-NL-10-MG2",-0.302114049518569,2019,7
"119",52757,"SL18-SF-17-FG3xSL18-NL-2-MG3","SL18-SF-17-FG3","SL18-NL-2-MG3",-0.229977851143751,2019,9
"120",52769,"SL18-SF-17-FG3xSL18-NL-9-MG1","SL18-SF-17-FG3","SL18-NL-9-MG1",-0.268705238820045,2019,2
"121",52809,"SL18-SF-17-FG3xSL18-OI-7-MG1","SL18-SF-17-FG3","SL18-OI-7-MG1",-0.245582663470398,2019,5
"122",52813,"SL18-SF-17-FG3xSL18-OI-9-MG3","SL18-SF-17-FG3","SL18-OI-9-MG3",-0.215582663470397,2019,2
"123",1145,"SA18-CB-2-FG3xSL18-CC-2-MG5","SA18-CB-2-FG3","SL18-CC-2-MG5",1.22136395662683,2020,1
"124",1228,"SA18-CB-2-FG3xSL18-NC-9-MG1","SA18-CB-2-FG3","SL18-NC-9-MG1",0.136957390917475,2020,5
"125",1278,"SA18-CB-2-FG3xSL18-OI-2-MG2","SA18-CB-2-FG3","SL18-OI-2-MG2",0.231916064684988,2020,7
"126",1733,"SA18-CB-4-FG6xSL18-JS-6-MG3","SA18-CB-4-FG6","SL18-JS-6-MG3",0.924804632358454,2020,9
"127",2512,"SA18-CB-5-FG4xSL18-CC-1-MG3","SA18-CB-5-FG4","SL18-CC-1-MG3",0.0514581330360555,2020,7
"128",3069,"SA18-CB-5-FG6xSL18-CC-6-MG2","SA18-CB-5-FG6","SL18-CC-6-MG2",0.338573749675656,2020,6
"129",3382,"SA18-CB-7-FG1xSL18-LD-1-MG1","SA18-CB-7-FG1","SL18-LD-1-MG1",0.196290532696602,2020,10
"130",3918,"SA18-CB-9-FG1xSL18-JS-19-MG1","SA18-CB-9-FG1","SL18-JS-19-MG1",0.632607996784842,2020,9
"131",3922,"SA18-CB-9-FG1xSL18-JS-5-MG3","SA18-CB-9-FG1","SL18-JS-5-MG3",0.0726522989500198,2020,8
"132",4028,"SA18-CB-9-FG1xSL18-OI-7-MG3","SA18-CB-9-FG1","SL18-OI-7-MG3",0.904291217068689,2020,4
"133",7176,"SL18-CC-1-FG1xSL18-CC-4-MG11","SL18-CC-1-FG1","SL18-CC-4-MG11",0.143774240066136,2020,8
"134",7247,"SL18-CC-1-FG1xSL18-NC-15-MG3","SL18-CC-1-FG1","SL18-NC-15-MG3",0.539755977066137,2020,10
"135",7300,"SL18-CC-1-FG1xSL18-OI-16-MG3","SL18-CC-1-FG1","SL18-OI-16-MG3",-0.0465869053973087,2020,1
"136",7515,"SL18-CC-1-FG2xSL18-NC-11-MG2","SL18-CC-1-FG2","SL18-NC-11-MG2",-0.0711039789523302,2020,7
"137",7572,"SL18-CC-1-FG2xSL18-OI-16-MG1","SL18-CC-1-FG2","SL18-OI-16-MG1",0.378749851489643,2020,10
"138",7574,"SL18-CC-1-FG2xSL18-OI-16-MG3","SL18-CC-1-FG2","SL18-OI-16-MG3",-0.0608364533150118,2020,2
"139",7865,"SL18-CC-1-FG3xSL18-OI-9-MG2","SL18-CC-1-FG3","SL18-OI-9-MG2",-0.144670430970922,2020,2
"140",8072,"SL18-CC-10-FG4xSL18-NC-2-MG2","SL18-CC-10-FG4","SL18-NC-2-MG2",0.510035598929089,2020,1
"141",8231,"SL18-CC-11-FG3xSA18-CB-3-MG3","SL18-CC-11-FG3","SA18-CB-3-MG3",1.65850658075007,2020,9
"142",8271,"SL18-CC-11-FG3xSL18-CC-3-MG1","SL18-CC-11-FG3","SL18-CC-3-MG1",-0.0394074648221257,2020,4
"143",8300,"SL18-CC-11-FG3xSL18-JS-16-MG1","SL18-CC-11-FG3","SL18-JS-16-MG1",0.416287608029077,2020,8
"144",8347,"SL18-CC-11-FG3xSL18-NC-2-MG3","SL18-CC-11-FG3","SL18-NC-2-MG3",0.633560181598717,2020,2
"145",8606,"SL18-CC-12-FG2xSL18-LL-9-MG4","SL18-CC-12-FG2","SL18-LL-9-MG4",0.941452459961634,2020,6
"146",8666,"SL18-CC-12-FG2xSL18-OI-15-MG2","SL18-CC-12-FG2","SL18-OI-15-MG2",0.906267046598719,2020,1
