"Individual" "Female" "Male"
"SL18-NL-10-FG1xSL18-SF-13-MG1" "SL18-NL-10-FG1xSL18-SF-13-MG1" "0" "0"
"SL18-NL-10-FG3xSL18-NL-3-MG2" "SL18-NL-10-FG3xSL18-NL-3-MG2" "0" "0"
"SL18-NL-2-FG1xSA18-CB-1-MG2" "SL18-NL-2-FG1xSA18-CB-1-MG2" "0" "0"
"SL18-NL-2-FG1xSL18-LD-13-MG2" "SL18-NL-2-FG1xSL18-LD-13-MG2" "0" "0"
"SL18-NL-2-FG1xSL18-SF-17-MG1" "SL18-NL-2-FG1xSL18-SF-17-MG1" "0" "0"
"SL18-NL-2-FG3xSA18-CB-2-MG3" "SL18-NL-2-FG3xSA18-CB-2-MG3" "0" "0"
"SL18-NL-2-FG3xSA18-CB-4-MG1" "SL18-NL-2-FG3xSA18-CB-4-MG1" "0" "0"
"SL18-NL-2-FG3xSL18-LD-3-MG2" "SL18-NL-2-FG3xSL18-LD-3-MG2" "0" "0"
"SL18-NL-2-FG3xSL18-OI-16-MG1" "SL18-NL-2-FG3xSL18-OI-16-MG1" "0" "0"
"SL18-NL-3-FG1xSA18-CB-7-MG2" "SL18-NL-3-FG1xSA18-CB-7-MG2" "0" "0"
"SL18-NL-3-FG1xSL18-OI-11-MG2" "SL18-NL-3-FG1xSL18-OI-11-MG2" "0" "0"
"SL18-NL-3-FG1xSL18-SF-13-MG2" "SL18-NL-3-FG1xSL18-SF-13-MG2" "0" "0"
"SL18-NL-3-FG2xSL18-SF-17-MG2" "SL18-NL-3-FG2xSL18-SF-17-MG2" "0" "0"
"SL18-NL-3-FG3xSA18-CB-2-MG2" "SL18-NL-3-FG3xSA18-CB-2-MG2" "0" "0"
"SL18-LD-10-FG1xSL18-OI-18-MG1" "SL18-LD-10-FG1xSL18-OI-18-MG1" "0" "0"
"SL18-NL-6-FG1xSA18-CB-3-MG3" "SL18-NL-6-FG1xSA18-CB-3-MG3" "0" "0"
"SL18-NL-6-FG1xSA18-CB-7-MG2" "SL18-NL-6-FG1xSA18-CB-7-MG2" "0" "0"
"SL18-NL-6-FG1xSL18-LD-1-MG2" "SL18-NL-6-FG1xSL18-LD-1-MG2" "0" "0"
"SL18-NL-6-FG1xSL18-LD-2-MG1" "SL18-NL-6-FG1xSL18-LD-2-MG1" "0" "0"
"SL18-NL-6-FG1xSL18-LD-3-MG2" "SL18-NL-6-FG1xSL18-LD-3-MG2" "0" "0"
"SL18-NL-6-FG1xSL18-NL-2-MG1" "SL18-NL-6-FG1xSL18-NL-2-MG1" "0" "0"
"SL18-OI-11-FG3xSL18-CC-1-MG3" "SL18-OI-11-FG3xSL18-CC-1-MG3" "0" "0"
"SL18-JS-16-FG3xSL18-NC-10-MG3" "SL18-JS-16-FG3xSL18-NC-10-MG3" "0" "0"
"SL18-OI-5-FG5xSA18-CB-7-MG3" "SL18-OI-5-FG5xSA18-CB-7-MG3" "0" "0"
"SL18-CC-1-FG2xSL18-OI-16-MG1" "SL18-CC-1-FG2xSL18-OI-16-MG1" "0" "0"
"SL18-NC-11-FG1xSL18-NL-2-MG1" "SL18-NC-11-FG1xSL18-NL-2-MG1" "0" "0"
"SL18-CC-5-FG2xSA18-CB-10-MG1" "SL18-CC-5-FG2xSA18-CB-10-MG1" "0" "0"
"SL18-CC-5-FG3xSL18-OI-14-MG1" "SL18-CC-5-FG3xSL18-OI-14-MG1" "0" "0"
"SL18-CC-11-FG3xSL18-CC-3-MG1" "SL18-CC-11-FG3xSL18-CC-3-MG1" "0" "0"
"SL18-CC-11-FG3xSA18-CB-3-MG3" "SL18-CC-11-FG3xSA18-CB-3-MG3" "0" "0"
"SL18-JS-16-FG1xSL18-CC-4-MG11" "SL18-JS-16-FG1xSL18-CC-4-MG11" "0" "0"
"SL18-CC-11-FG3xSL18-JS-16-MG1" "SL18-CC-11-FG3xSL18-JS-16-MG1" "0" "0"
"SL18-NC-12-FG2xSA18-CB-4-MG3" "SL18-NC-12-FG2xSA18-CB-4-MG3" "0" "0"
"SL18-OD-5-FG1xSL18-CC-8-MG2" "SL18-OD-5-FG1xSL18-CC-8-MG2" "0" "0"
"SL18-CC-1-FG3xSL18-OI-9-MG2" "SL18-CC-1-FG3xSL18-OI-9-MG2" "0" "0"
"SA18-CB-9-FG1xSL18-JS-5-MG3" "SA18-CB-9-FG1xSL18-JS-5-MG3" "0" "0"
"SL18-CC-5-FG1xSL18-JS-9-MG1" "SL18-CC-5-FG1xSL18-JS-9-MG1" "0" "0"
"SL18-CC-12-FG3xSL18-OI-15-MG2" "SL18-CC-12-FG3xSL18-OI-15-MG2" "0" "0"
"SL18-SF-17-FG2xSL18-NC-1-MG1" "SL18-SF-17-FG2xSL18-NC-1-MG1" "0" "0"
"SL18-JS-5-FG1xSL18-LD-2-MG4" "SL18-JS-5-FG1xSL18-LD-2-MG4" "0" "0"
"SL18-OD-5-FG3xSA18-CB-1-MG12" "SL18-OD-5-FG3xSA18-CB-1-MG12" "0" "0"
"SL18-CC-5-FG3xSL18-JS-5-MG2" "SL18-CC-5-FG3xSL18-JS-5-MG2" "0" "0"
"SL18-SF-13-FG1xSA18-CB-7-MG1" "SL18-SF-13-FG1xSA18-CB-7-MG1" "0" "0"
