"","testing","Individual","popChk","Year","y","yHat"
"129",129,"SL18-LD-13-FG2xSL18-LD-13-MG2","ES",2020,0.03920757,0.278885633182409
"130",130,"SL18-CC-5-FG3xSL18-OI-14-MG1","ES",2020,1.495930496,1.0416625539019
"131",131,"SL18-CC-11-FG3xSL18-CC-3-MG1","ES",2020,0.162226696,0.360621622873362
"132",132,"SL18-CC-11-FG3xSA18-CB-3-MG3","ES",2020,1.912050785,1.29981686013686
"133",133,"SL18-JS-16-FG1xSL18-CC-4-MG11","ES",2020,0.038860603,0.159696073280931
"134",134,"SL18-CC-11-FG3xSL18-JS-16-MG1","ES",2020,0.606503052,0.624856886811408
"135",135,"SL18-NC-12-FG2xSA18-CB-4-MG3","ES",2020,0.1931936,0.2542213152774
"136",136,"SL18-OD-5-FG1xSL18-CC-8-MG2","ES",2020,0.058814816,0.166973710768108
"137",137,"SL18-CC-1-FG3xSL18-OI-9-MG2","ES",2020,0.045545013,0.200126987793389
"138",138,"SA18-CB-9-FG1xSL18-JS-5-MG3","ES",2020,0.116125876,0.321126620654134
"139",139,"SL18-CC-5-FG1xSL18-JS-9-MG1","ES",2020,0.038572756,0.181353107444797
"140",140,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2020,0.071632259,0.286012483144027
"141",141,"SL18-CC-12-FG3xSL18-OI-15-MG2","ES",2020,0.566752741,0.52705664933762
"142",142,"SL18-SF-17-FG2xSL18-NC-1-MG1","ES",2020,0.187129708,0.295459134823953
"143",143,"SL18-JS-5-FG1xSL18-LD-2-MG4","ES",2020,0.161994864,0.170096196504124
"144",144,"SL18-OD-5-FG3xSA18-CB-1-MG12","ES",2020,0.111509655,0.183207185850161
"145",145,"SL18-CC-5-FG3xSL18-JS-5-MG2","ES",2020,0.157828887,0.296398794601882
"146",146,"SL18-SF-13-FG1xSA18-CB-7-MG1","ES",2020,0.149539341,0.332225786044147
"147",147,"SL18-LL-9-FG6xSA18-CB-10-MG3","ES",2020,0.02452874,0.206057273936186
"148",148,"SL18-OI-15-FG2xSA18-CB-2-MG3","ES",2020,0.608846704,0.548661821472453
"149",149,"SA18-CB-2-FG3xSL18-NC-9-MG1","ES",2020,0.421900032,0.470546947648521
"150",150,"SL18-NL-2-FG3xSA18-CB-4-MG1","ES",2020,0.038884822,0.224584331613027
"151",151,"SA18-CB-5-FG4xSL18-CC-1-MG3","ES",2020,0.482847742,0.47670714540708
"152",152,"SL18-CC-3-FG1xSL18-JS-6-MG3","ES",2020,0.775134127,0.689934640752043
"153",153,"SL18-JS-16-FG1xSL18-LD-2-MG2","ES",2020,0.216354947,0.257537115382713
"154",154,"SL18-NC-10-FG1xSL18-NC-5-MG1","ES",2020,0.018680038,0.126924057094746
"155",155,"SL18-OI-17-FG4xSL18-JS-6-MG2","ES",2020,1.143510679,0.887903036420578
"156",156,"SL18-CC-1-FG2xSL18-OI-16-MG3","ES",2020,0.078623966,0.173624128581719
"157",157,"SA18-CB-2-FG3xSL18-OI-2-MG2","ES",2020,0.371376484,0.430170828835108
"158",158,"SL18-CC-5-FG3xSL18-JS-19-MG2","ES",2020,0.176738612,0.289271591820351
"159",159,"SL18-CC-3-FG2xSA18-CB-10-MG3","ES",2020,2.089694461,1.40252293550057
"160",160,"SL18-CC-1-FG1xSL18-OI-16-MG3","ES",2020,0.14812139,0.236364961354766
"161",161,"SL18-JS-16-FG3xSL18-OD-6-MG2","ES",2020,0.162267733,0.215737741599206
"162",162,"SL18-OI-4-FG2xSL18-NC-15-MG1","ES",2020,1.014038283,0.945958273912782
"163",163,"SL18-NC-12-FG2xSL18-OI-16-MG1","ES",2020,0.259678296,0.384933695892563
"164",164,"SL18-CC-8-FG2xSL18-JS-5-MG3","ES",2020,1.468216837,1.07849256520026
"165",165,"SL18-OI-4-FG2xSL18-JS-19-MG2","ES",2020,0.249342417,0.438527645875315
"166",166,"SL18-OI-6-FG2xSA18-CB-4-MG2","ES",2020,2.148595766,1.49897570972633
"167",167,"SL18-CC-3-FG1xSL18-JS-5-MG2","ES",2020,1.028074377,0.799129366875828
"168",168,"SL18-CC-3-FG2xSL18-OD-6-MG1","ES",2020,0.864280209,0.730181804989102
"169",169,"SL18-LD-2-FG2xSL18-SF-19-MG1","ES",2020,0.059279684,0.279419190309
"170",170,"SL18-LD-13-FG2xSA18-CB-7-MG1","ES",2020,0.305279087,0.343286914560323
"171",171,"SL18-OI-6-FG2xSL18-LD-2-MG2","ES",2020,1.181927802,0.955356871360308
"172",172,"SL18-CC-12-FG3xSL18-OI-15-MG3","ES",2020,0.214452877,0.364401704070457
"173",173,"SL18-CC-11-FG3xSL18-NC-2-MG3","ES",2020,0.757613556,0.708646947502769
"174",174,"SL18-CC-12-FG2xSL18-OI-15-MG2","ES",2020,1.030320421,0.818733257785973
"175",175,"SL18-SF-17-FG2xSA18-CB-1-MG13","ES",2020,0.29622886,0.476704042237645
"176",176,"SL18-SF-17-FG2xSL18-OI-4-MG3","ES",2020,0.194399721,0.329918146563318
"177",177,"SL18-NC-10-FG3xSL18-NL-5-MG2","ES",2020,0.054416662,0.0876075079978325
"178",178,"SL18-CC-8-FG2xSL18-LD-9-MG1","ES",2020,0.389114621,0.384860772720234
